门店名称,电话,所属城市,区域,星级,所属分类,地址,X坐标,Y坐标
正阳·车宝贝汽车美容装饰,13939673960,驻马店市,颍州区,1,车行,河南省,驻马店市,正阳县,正阳县南环城一路与中心街交叉口向北100向西,32.599339,114.39633
上蔡·锦晟汽车维修服务中心,18839608571,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县蔡侯路东段二里农贸市场对面,33.280757,114.297096
驻马店·合威汽车美容,13939609815,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市团结路与文明路交叉口向东100米路北,32.99771,114.024976
上蔡·雅士爱车之家,13526351888,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县北环路苏豫中学西300米路南,33.280667,114.299535
上蔡·向阳一站式汽车服务,15807066880,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县车管所红绿灯西北角,33.269493,114.250452
上蔡·梅特莱斯,18037531673,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县秦相路南段广电局南50米,33.26232,114.261533
上蔡·德国马牌,15890805007,驻马店市,上蔡县,1,车行,河南省,驻马店市,上蔡县,上蔡县秦相路南段（看花楼小学对面）,33.261547,114.262176
汝南·阳光苑汽车美容中心（德国马牌）,15978828155,驻马店市,汝南县,1,车行,河南省,驻马店市,汝南县,汝南县王家巷与北环路交叉口,33.018743,114.374899
驻马店·德国马牌利星汽车服务中心,13303968871,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,文明路与纬一路交叉口向西200米路北 ,33.021681,114.018938
汝南·新起点汽车维修美容中心,15893935058,驻马店市,汝南县,1,车行,河南省,驻马店市,汝南县,汝南县汝河假日酒店北100米,33.013302,114.346637
汝南·车驿站汽车美容总汇,18239654555,驻马店市,汝南县,1,车行,河南省,驻马店市,汝南县,汝南县登瀛路清河路交叉口南50米路东,33.000714,114.362347
驻马店·乐途汽车维修服务,18300711186,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区骏马路与金山巷交叉口向西50米,33.014792,114.02468
驻马店·德力汽车服务,18639642118,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区练江路与盘龙山路交叉口向北100米,32.967093,114.010196
驻马店·宇通汽车美容装饰,18939673619,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店是驿城区交通路与薄山路交叉口向西200米,32.983214,113.990597
驻马店·德国马牌汽车服务,13353891527,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区前进大道北段,33.010188,114.058583
驻马店·建之特汽车划痕修复专家,17739535215,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区白桥路与天顺路交叉口西北角,32.971657,114.033815
驻马店·隆祥汽车服务中心,18790329666,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店市驿城区中华大道（盘龙山路路口西200米）,32.97641,114.006375
车管家汽车服务有限公司,18300795919,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店驿城区解放路与文明路交叉东100原市委党校院内,32.981017,114.026846
飞劲轮胎轿之林汽车俱乐部,13803961952,驻马店市,平舆县,1,车行,河南省,驻马店市,平舆县,平舆县永乐大道东段怡馨庄园对面,32.952992,114.657591
倍耐力轮胎,13283092888,驻马店市,平舆县,1,车行,河南省,驻马店市,平舆县,平舆县清河大道1-22,32.973619,114.627375
锦湖轮胎,18300794919,驻马店市,遂平县,1,车行,河南省,驻马店市,遂平县,107国道公安局巡警大队北侧,33.158193,114.00777
顺鑫汽车维修美容装饰,15236376560,驻马店市,确山县,1,车行,河南省,驻马店市,确山县,确山县龙山路中段水岸星城,32.822809,114.040252
御车汇汽车美容会所,18137533801,驻马店市,确山县,1,车行,河南省,驻马店市,确山县,确山县护城河路与盘龙大道交叉口向北50米路西,32.802414,114.025441
兴科汽车美容装饰,15939672130,驻马店市,遂平县,1,车行,河南省,驻马店市,遂平县,遂平县老107乡村公路管理所楼下,33.16256,114.008586
御驾汽车美容服务中心旗舰店,15539662622,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,雪松路与铜山大道交叉口向东300米路北,32.993493,114.0033
百汇汽车装饰美容,15039618855,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,驻马店驿城区,33.001094,114.035459
驻马店·翔达汽车美容装饰,15939605001,驻马店市,驿城区,1,车行,河南省,驻马店市,驿城区,翔达汽车美容装饰,32.972089,114.057109
驻马店·宝鑫行名车维修,18300752567,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,金山路翠景花园,33.01509,114.038307
驻马店·小友汽车服务中心,15893958633,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,乐乐山路南段水果市场小友汽车服务中心,32.972142,114.040844
驻马店·新世纪专业维修服务,13033805518,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,天中山大道与练江路向北200米东,32.970691,114.01845
驻马店·洁美仕汽车服务部,13598901332,驻马店市,驿城区,5,车行,河南省,驻马店市,驿城区,开源路与金山路交叉口,33.016717,114.038902
驻马店·远航汽车服务中心,15839681919,驻马店市,驿城区,3,车行,河南省,驻马店市,驿城区,文祥路与迅达路交叉口,32.99983,114.018805
